instance,RFT,RFE,RFI,RBT,RBE,RBI,SFT,SFE,SFI,SBT,SBE,SBI
100_20_01,833117,610815,604439,821827,626692,601737,616002,616002,607386,616002,616002,611917
100_20_02,823233,633269,630996,822845,645489,639665,649396,638287,631066,649396,638887,635048
100_20_03,722332,601695,603513,731113,614674,620155,613349,613349,603315,613349,613349,608764
100_20_04,865169,678159,676883,870331,684881,697778,683331,686236,675472,687245,680249,679033
100_20_05,885351,661449,661714,894375,706553,670892,696543,675712,658600,696543,667732,668382
100_20_06,818828,655230,648627,849752,659643,667522,675913,665682,653510,675913,660114,652945
100_20_07,797361,573771,573030,793834,585939,580896,587808,582314,573545,587808,587808,578904
100_20_08,697312,541347,539245,697950,557142,543355,547398,540051,542886,547398,541600,542420
100_20_09,702584,588930,593958,707386,600170,600992,594279,594102,581720,594279,594142,587862
100_20_10,816724,611977,610483,828481,626880,620229,618765,613450,607378,619013,613979,613812
100_20_11,775777,613548,615227,799147,632087,611615,620124,618902,614085,619327,618171,615524
100_20_12,772357,589309,600271,786463,610561,596033,599970,599759,595915,599970,599759,595915
100_20_13,766418,560857,554602,778423,576560,563301,581879,565246,558749,581879,567575,562339
100_20_14,807072,584266,581255,809264,602488,594625,592690,587634,581814,594779,587443,583664
100_20_15,765464,607103,599633,765062,607818,604019,616486,616297,604492,616486,615934,605772
100_20_16,697407,555732,554875,705532,568345,579245,565937,564236,560015,565937,561110,560613
100_20_17,871431,663889,655774,877983,669622,666561,666391,658853,654820,666391,665680,659428
100_20_18,801658,636873,639414,807053,647511,643755,648133,645792,640985,648133,643953,645595
100_20_19,645739,476508,468781,644445,482208,475759,480111,474614,478244,480111,474591,472976
100_20_20,758047,576757,572510,756680,592641,585277,584512,583618,578731,584512,583651,574626
100_20_21,781283,628127,633865,786160,658578,634549,644590,644476,641953,644590,644476,623387
100_20_22,808861,657897,658993,819982,668101,654456,671837,661875,652400,672033,663867,663761
100_20_23,789733,614879,610825,795546,630874,613042,619180,613594,611858,619632,619559,613923
100_20_24,756193,561173,561591,770550,579416,563201,572680,570600,560656,570962,570600,563387
100_20_25,821847,594097,607747,815061,606090,607773,612401,604263,607119,612401,607425,603865
100_20_26,755843,612135,605984,757557,615397,610163,622002,616423,607166,621958,609695,608333
100_20_27,794748,572652,571759,796938,590786,571382,581282,579455,573626,581310,578075,575392
100_20_28,731063,561058,555135,736615,563728,566374,565683,565197,556349,565683,565197,557705
100_20_29,689687,554934,551758,690466,566099,558145,572564,565640,553844,572564,561471,558629
100_20_30,688955,516302,514474,682478,530449,523376,528858,525470,514125,528858,523260,513992
50_20_01,2507975,1834296,1821361,2539518,1864697,1841495,1861380,1841685,1826045,1861380,1845234,1841547
50_20_02,2386432,1839241,1843468,2386512,1869968,1870682,1872704,1848930,1835871,1872704,1863155,1846248
50_20_03,2396212,1719731,1704377,2392508,1772114,1733497,1754072,1717060,1723543,1754127,1721012,1710347
50_20_04,2629946,1971120,1988189,2629663,2034892,2009803,2020637,2001547,1988731,2020637,2011889,1988201
50_20_05,2348454,1569915,1565107,2365286,1610739,1581485,1620783,1605878,1575143,1620783,1598541,1573492
50_20_06,2353253,1684503,1687290,2345579,1746532,1726195,1733575,1717737,1696702,1733575,1715744,1706546
50_20_07,2606424,1790441,1795924,2616368,1832356,1846264,1858524,1841406,1819283,1858520,1844222,1815190
50_20_08,2550668,1794668,1798213,2586223,1844791,1823257,1832647,1803533,1782956,1832773,1801845,1806087
50_20_09,2477927,1868511,1884906,2507909,1927429,1905690,1942239,1894310,1878784,1943186,1911077,1896771
50_20_10,2371028,1684682,1688689,2349478,1756177,1725353,1736909,1726517,1696334,1736909,1723451,1703455
50_20_11,2540002,1837745,1845555,2551581,1914378,1895692,1911880,1882893,1864799,1911880,1896240,1882134
50_20_12,2575027,1727132,1744194,2633016,1795618,1763778,1771565,1768318,1722874,1772760,1756633,1722556
50_20_13,2359957,1732994,1753765,2375950,1788288,1772747,1781784,1763725,1754316,1781784,1763863,1752756
50_20_14,2490610,1739328,1730007,2479208,1792892,1757168,1786624,1770530,1739054,1786624,1768605,1765016
50_20_15,2169220,1487273,1484160,2172159,1525842,1512928,1513447,1500577,1481735,1513447,1503622,1501537
50_20_16,2561069,1896719,1897651,2584298,1940622,1906471,1931321,1886855,1887347,1932581,1914988,1888359
50_20_17,2407050,1795745,1825445,2399422,1877079,1839797,1857456,1840702,1828708,1856652,1813377,1812047
50_20_18,2542185,1844879,1844727,2534602,1919456,1860327,1917307,1873291,1854862,1917358,1896268,1869216
50_20_19,2453858,1705780,1719835,2474322,1742169,1718791,1760403,1759250,1729931,1760403,1759250,1721923
50_20_20,2543539,1829817,1850785,2527939,1873815,1864421,1874273,1855337,1843492,1874273,1853848,1852163
50_20_21,2351866,1743615,1738284,2388803,1797403,1793281,1794948,1786989,1749757,1795109,1787796,1734645
50_20_22,2418065,1766472,1771784,2402235,1812900,1815142,1820415,1793708,1768638,1820415,1807884,1782273
50_20_23,2503945,1821402,1829147,2544273,1877769,1850553,1870555,1839433,1818445,1870555,1854905,1833881
50_20_24,2450109,1726144,1736089,2461265,1786046,1764695,1778055,1722336,1738987,1778055,1742005,1734255
50_20_25,2472319,1740157,1766338,2470539,1781566,1773492,1789791,1770067,1757994,1789791,1783862,1760246
