50_20_01,768406,608241,603142,781938,617806,618122,614078,614078,604460,614078,614078,605746
50_20_02,763262,637215,630995,780801,642937,649040,649396,638287,631066,649396,638887,635048
50_20_03,755062,606616,599985,752227,609697,601747,613234,613234,603201,613234,613234,608392
50_20_04,840107,673940,676338,871313,684964,682436,683331,686236,675472,687245,680249,679033
50_20_05,856899,678828,671935,864724,680756,667952,693226,676567,662499,693226,665726,672098
50_20_06,818616,657564,647454,838846,664822,666206,675913,665682,653510,675913,660114,652945
50_20_07,712077,577060,572235,737855,594859,587608,587808,582314,573545,587808,587808,578904
50_20_08,717619,540380,535542,709009,550687,550030,547398,540051,542886,547398,541600,542420
50_20_09,771524,582299,583824,769805,607673,595302,594279,594102,581720,594279,594142,587862
50_20_10,771684,609530,607808,776921,625413,607973,618765,613450,607378,619013,613979,613812
50_20_11,747399,612413,614631,758917,626766,621704,620124,618902,614085,619327,618171,615524
50_20_12,760224,591633,599419,770720,602172,594385,599970,599759,595915,599970,599759,595915
50_20_13,720290,560117,559850,737700,581477,568521,581879,565246,558749,581879,567575,562339
50_20_14,838111,586010,579161,834920,597422,585171,592690,587634,581814,594779,587443,583664
50_20_15,766463,607523,609077,768063,620189,613420,618112,610319,601954,618112,617444,605191
50_20_16,721492,561913,555403,743001,568328,561645,565735,563537,560015,565735,561130,561037
50_20_17,777555,656934,654527,796112,673670,671653,666391,658853,654820,666391,665680,659428
50_20_18,836659,645039,639857,851361,645530,644357,648133,645792,640985,648133,643953,645595
50_20_19,634596,470073,470997,649696,483342,472373,480111,474614,478244,480111,474591,472976
50_20_20,751378,578104,577732,770960,586038,588857,586392,574266,581558,584340,580599,581558
50_20_21,841294,634342,634578,839423,650586,638873,644882,644476,637582,644882,644476,623387
50_20_22,803788,655245,656015,812792,675069,663074,671837,661875,652400,672033,663867,663761
50_20_23,778391,620166,612007,790273,632575,625601,619180,613594,611858,619632,619559,613923
50_20_24,744122,565291,557966,740202,576268,567152,572680,570600,560656,570962,570600,563387
50_20_25,743156,604814,600227,772897,612673,601115,611654,604587,606672,611654,607847,603615
50_20_26,789300,608574,602478,785563,627523,615917,622002,616423,607166,621958,609695,608333
50_20_27,793773,570238,570148,797209,574459,568170,581282,579455,573626,581310,578075,575392
50_20_28,731500,562435,556906,739673,578027,558971,565683,565197,556349,565683,565197,557705
50_20_29,729707,560990,551806,732748,569710,557366,572474,563394,560054,572474,561448,557655
50_20_30,636216,515559,515783,641105,529072,515660,528793,524225,514028,528793,522172,513992
