RFI-SFI,0.0685044365868979,0.00652597472959805
RFE-SFE,1.29702662832809e-08,4.40493702946702e-10
RFT-SFT,1.38781847821521e-12,1.67132856965264e-11
RBI-SBI,1.64777326996168e-08,1.13693223956167e-08
RBE-SBE,9.84691598997035e-08,1.60419554601932e-08
RBT-SBT,1.47122056614724e-12,1.67132856965264e-11
RFI-RBI,2.99980678376051e-10,2.62991876740124e-11
RFE-RBE,3.35581498109123e-11,1.67132856965264e-11
RFT-RBT,0.000384024248959285,0.000198207408241016
SFI-SBI,0.00280264105201087,0.000793433779461824
SFE-SBE,0.0161769937383313,0.0504108745574905
SFT-SBT,0.0495447754691748,0.0313220795037409
RFE-RFI,0.304915079404254,0.463875951465839
RBE-RBI,4.81007358863804e-06,2.78679427712337e-08
SFE-SFI,1.01490468882716e-08,1.34205251325615e-09
SBE-SBI,1.40800372006313e-07,2.26770415822908e-10
RFT-RFI,1.2107011922515e-12,1.67132856965264e-11
RBT-RBI,1.31322337085303e-12,1.67132856965264e-11
SFT-SFI,5.47121228440714e-12,1.67132856965264e-11
SBT-SBI,1.75714917902182e-11,1.67132856965264e-11
RFT-RFE,1.45195335513809e-12,1.67132856965264e-11
RBT-RBE,1.59110396315169e-12,1.67132856965264e-11
SFT-SFE,1.03650370990994e-08,6.71899558839375e-11
SBT-SBE,3.08857636888741e-09,5.28272486561804e-11
