BK,GA01,GA05,GA1,GA2,BK2,TS01,TS05,TS1,TS2
1000.000000,961.635799,42.587483,26.915713,26.915722,1000.000000,536.377854,335.923015,60.052308,4.484055
268.798494,34.516116,18.284930,18.284948,18.284953,1000.000000,586.755673,43.600704,4.645720,1.953963
139.500792,137.579863,44.545127,32.396446,32.396462,1000.000000,598.729252,141.984302,13.763280,7.161789
1000.000000,1000.000000,25.135822,25.135845,25.135852,912.401032,302.059828,80.545009,47.182082,1.963846
1000.000000,61.607739,36.425316,18.233005,18.233262,1000.000000,1000.000000,605.950976,17.081582,5.643921
590.522318,31.300993,26.904626,26.904646,26.904652,935.348814,81.194609,69.398801,23.000585,20.077609
1000.000000,1000.000000,63.198698,31.332678,31.332694,1000.000000,1000.000000,154.986242,91.562200,2.766692
212.026620,78.992522,24.643290,18.913139,18.913155,1000.000000,1000.000000,34.036667,26.812614,6.548187
1000.000000,1000.000000,27.247764,27.247782,27.247789,1000.000000,524.455763,480.787501,16.162510,3.692231
1000.000000,671.361801,22.690718,19.288008,19.288023,1000.000000,1000.000000,132.656525,28.275379,1.926698
1000.000000,145.903307,35.069967,19.775773,19.775788,1000.000000,1000.000000,41.098895,8.213543,2.532673
1000.000000,72.137881,28.331276,28.331292,28.331298,1000.000000,1000.000000,186.850359,16.574859,2.321450
264.580722,263.681102,60.750100,19.056493,19.056507,1000.000000,1000.000000,294.332423,28.078720,7.042606
212.841920,212.841936,94.985422,33.253697,33.265991,1000.000000,270.119214,143.787598,35.990246,4.644940
902.742182,902.755001,44.502893,28.355395,28.355410,1000.000000,1000.000000,80.095460,14.364831,3.099501
1000.000000,338.609274,39.425587,20.346426,18.561124,1000.000000,1000.000000,437.388865,9.730420,2.433360
1000.000000,1000.000000,78.802502,29.897021,29.897038,1000.000000,1000.000000,752.649504,73.080274,12.801034
1000.000000,1000.000000,34.997570,20.370762,20.370777,796.163016,128.191972,75.296165,43.175439,9.964285
311.224455,100.214612,19.513909,19.513924,19.513929,821.154654,817.152612,319.389030,43.525687,6.601413
1000.000000,204.406392,63.599399,30.094310,30.094323,1000.000000,1000.000000,39.843011,9.054327,1.979179
1000.000000,1000.000000,23.884999,19.941032,19.941046,68.658203,49.477768,46.268067,46.154372,1.698738
831.289474,379.707439,65.587793,31.492450,31.492458,1000.000000,1000.000000,208.064087,58.242587,1.719239
259.039101,259.039342,53.395642,20.137676,20.137691,675.120474,670.711265,367.821427,69.999292,3.911933
1000.000000,1000.000000,29.005708,20.784547,18.940995,374.327628,364.190026,35.298000,8.704067,5.288085
1000.000000,1000.000000,55.408626,31.252124,31.252134,1000.000000,444.729032,111.244755,79.956468,2.467075
